Position	Strand	DS_Coverage_WT1	DS_Coverage_WT2	DS_Coverage_WT3	mC_Coverage_WT1	mC_Coverage_WT2	mC_Coverage_WT3	Mg_Coverage_WT1	Mg_Coverage_WT2	Mg_Coverage_WT3	Tm_Coverage_WT1	Tm_Coverage_WT2	Tm_Coverage_WT3	DS_MethylPercent_WT1	DS_MethylPercent_WT2	DS_MethylPercent_WT3	mC_MethylPercent_WT1	mC_MethylPercent_WT2	mC_MethylPercent_WT3	Mg_MethylPercent_WT1	Mg_MethylPercent_WT2	Mg_MethylPercent_WT3	Tm_MethylPercent_WT1	Tm_MethylPercent_WT2	Tm_MethylPercent_WT3
768086	Plus	48	63	66	34	53	47	45	58	58	48	63	66	0.646	0.683	0.576	0.882352941	0.905660377	0.872340426	1	0.9828	0.9828	0.9643	1	0.9762
768087	Minus	52	59	75	38	33	56	49	56	64	52	59	75	0.865	0.831	0.8	0.894736842	0.939393939	0.857142857	1	0.9821	0.9844	0.9444	0.975	0.9783
768149	Plus	48	63	69	37	49	51	45	60	61	48	63	69	1	0.921	0.986	0.864864865	0.857142857	0.960784314	0.9556	1	1	0.9355	0.96	0.9773
768150	Minus	52	60	74	36	40	46	50	58	69	52	60	74	0.827	0.933	0.878	0.888888889	0.925	0.97826087	0.92	1	0.971	1	1	0.9815
768695	Plus	48	64	68	33	47	50	39	61	63	48	64	68	0.708	0.719	0.794	0.878787879	0.893617021	0.8	1	0.9344	0.9524	0.9524	0.9714	1
768696	Minus	55	59	70	39	41	54	46	51	65	55	59	70	0.745	0.746	0.843	0.897435897	0.87804878	0.944444444	0.8696	0.8824	0.8923	0.95	0.9697	1
768749	Plus	50	63	67	40	52	58	45	61	64	50	63	67	0.92	0.921	0.955	0.9	0.942307692	0.931034483	1	1	0.9844	0.973	1	1
768750	Minus	56	58	71	40	28	52	50	54	66	56	58	71	0.911	0.862	0.887	0.7	0.714285714	0.673076923	0.94	0.9444	0.9242	1	1	1
768971	Plus	49	64	69	40	50	54	49	60	64	49	64	69	0.837	0.812	0.87	0.95	0.94	0.944444444	0.9592	1	0.9688	1	1	0.9355
768972	Minus	56	60	71	44	34	44	48	56	64	56	60	71	0.804	0.75	0.775	0.954545455	0.911764706	0.931818182	0.9583	0.8929	0.9375	1	0.9474	1
769227	Plus	49	61	74	38	42	58	48	56	64	49	61	74	0.51	0.59	0.554	0.947368421	0.880952381	0.896551724	1	0.9464	0.9688	0.9565	0.9706	0.9655
769228	Minus	57	59	69	33	30	48	55	55	65	57	59	69	0.877	0.898	0.913	0.787878788	0.766666667	0.8125	0.9818	0.9455	0.9538	1	1	1
769271	Plus	49	62	76	40	51	64	46	59	65	49	62	76	1	0.935	0.987	0.975	0.882352941	0.953125	0.9565	0.9322	0.9692	1	1	0.9804
769272	Minus	58	59	69	38	33	45	55	56	65	58	59	69	0.983	0.966	0.942	0.868421053	0.818181818	0.888888889	1	0.9821	0.9846	1	0.9583	1
769275	Plus	49	62	76	37	56	54	47	60	68	49	62	76	0.98	0.919	0.974	0.945945946	0.910714286	0.944444444	1	1	0.9853	0.9722	0.9388	1
769276	Minus	58	59	69	30	28	41	54	56	66	58	59	69	0.983	0.966	0.971	0.533333333	0.642857143	0.414634146	1	0.9821	0.9697	1	0.9783	1
769290	Plus	49	62	73	36	52	57	46	61	70	49	62	73	0.98	0.984	1	0.833333333	0.769230769	0.859649123	0.9565	0.9672	0.9857	0.8	0.8462	0.95
769291	Minus	58	59	69	47	38	45	54	57	66	58	59	69	0.931	0.881	0.913	0.808510638	0.815789474	0.844444444	1	1	0.9545	1	1	1
769320	Plus	49	62	74	39	46	55	48	60	68	49	62	74	0.837	0.79	0.811	0.820512821	0.760869565	0.745454545	0.9583	0.9833	0.9559	1	1	0.9032
769321	Minus	59	58	69	48	43	56	56	55	63	59	58	69	0.814	0.638	0.841	0.541666667	0.395348837	0.660714286	0.9643	1	0.9841	0.9091	0.9565	0.9655
769346	Plus	49	62	75	38	54	58	45	59	69	49	62	75	0.714	0.726	0.693	0.789473684	0.740740741	0.793103448	0.9333	0.9831	0.913	0.9333	1	1
769347	Minus	58	58	68	36	38	40	54	53	62	58	58	68	0.776	0.828	0.824	0.583333333	0.605263158	0.675	0.9259	0.9434	0.9032	1	1	1
769818	Plus	47	62	74	33	41	54	46	62	68	47	62	74	0.872	0.935	0.946	0.757575758	0.829268293	0.703703704	1	0.9677	1	1	0.9	0.9756
769819	Minus	50	55	66	34	36	49	49	53	65	50	55	66	0.94	0.964	0.97	0.705882353	0.75	0.653061224	0.9796	0.9811	0.9846	1	1	1
770118	Plus	50	61	73	38	50	59	48	59	72	50	61	73	0.96	0.918	0.945	0.973684211	0.98	0.881355932	1	0.9831	0.9583	1	1	1
770119	Minus	51	55	63	22	29	33	41	47	44	51	55	63	0.569	0.564	0.635	0.863636364	0.655172414	0.757575758	0.7073	0.6383	0.6364	1	0.9474	1
771171	Plus	53	59	79	38	50	62	48	49	76	53	59	79	0.83	0.644	0.797	0.763157895	0.72	0.758064516	0.7917	0.7755	0.7895	1	1	1
771172	Minus	46	62	66	37	50	48	42	52	56	46	62	66	0.761	0.726	0.803	0.837837838	0.78	0.75	0.8333	0.8077	0.875	0.8	1	1
771210	Plus	53	60	78	40	46	63	46	50	68	53	60	78	0.377	0.433	0.321	0.575	0.47826087	0.53968254	0.8043	0.84	0.8088	1	0.9091	0.9091
771211	Minus	46	61	66	29	34	44	42	55	57	46	61	66	0.826	0.721	0.712	0.862068966	0.647058824	0.75	0.9524	0.9091	0.9474	1	1	1
771289	Plus	53	61	81	43	51	62	49	56	75	53	61	81	0.811	0.836	0.901	0.906976744	0.921568627	0.887096774	0.9184	0.9286	0.8667	0.9744	0.9756	0.9828
771290	Minus	45	61	64	36	44	51	38	50	53	45	61	64	0.333	0.574	0.266	0.527777778	0.5	0.568627451	0.8684	0.9	0.9057	1	1	0.9412
771813	Plus	51	68	86	42	53	71	51	65	80	51	68	86	0.902	0.926	0.93	0.666666667	0.773584906	0.802816901	1	0.9231	0.9375	1	1	0.95
771814	Minus	45	68	63	36	44	44	39	55	56	45	68	63	0.422	0.574	0.587	0.611111111	0.75	0.704545455	0.9231	0.9455	0.8571	0.8333	1	0.9667
772284	Plus	55	64	81	49	53	68	53	61	79	55	64	81	0.745	0.688	0.802	0.612244898	0.622641509	0.735294118	0.9811	0.918	0.962	1	1	1
772285	Minus	41	66	67	29	50	47	40	61	60	41	66	67	0.707	0.773	0.642	0.724137931	0.72	0.510638298	0.975	1	1	0.9	1	1
772319	Plus	55	64	82	39	49	63	53	61	77	55	64	82	0.6	0.734	0.598	0.769230769	0.775510204	0.80952381	0.8868	0.9508	0.9221	0.96	1	0.9583
772320	Minus	41	65	67	35	52	50	39	55	61	41	65	67	0.829	0.692	0.821	0.828571429	0.769230769	0.72	0.9487	1	0.9672	0.9545	1	0.8696
772866	Plus	53	62	82	31	41	52	53	60	77	53	62	82	0.792	0.952	0.951	0.806451613	0.975609756	0.923076923	0.9245	1	0.961	1	1	1
772867	Minus	44	59	70	35	42	53	43	55	63	44	59	70	0.886	0.831	0.814	0.914285714	0.857142857	0.849056604	0.9535	0.9273	0.9524	1	0.9722	0.9706
773045	Plus	56	63	83	50	54	65	54	61	77	56	63	83	0.536	0.492	0.518	0.7	0.722222222	0.8	0.963	0.9672	0.987	0.9474	1	1
773046	Minus	46	61	74	33	44	54	39	58	69	46	61	74	0.957	0.984	0.973	0.787878788	0.772727273	0.814814815	1	0.9483	0.9855	1	0.9655	1
773234	Plus	57	62	79	44	52	60	52	60	76	57	62	79	0.93	0.952	0.949	0.772727273	0.692307692	0.766666667	0.9808	0.9833	0.9605	1	1	1
773235	Minus	47	64	74	24	36	43	45	60	70	47	64	74	0.936	0.938	0.973	0.875	0.972222222	0.813953488	1	0.9667	0.9857	1	1	1
773312	Plus	56	63	80	37	47	52	53	62	78	56	63	80	0.625	0.571	0.562	0.864864865	0.723404255	0.884615385	1	0.9839	0.9872	1	1	1
773313	Minus	46	64	74	32	47	54	42	60	69	46	64	74	0.913	0.953	0.919	0.84375	0.808510638	0.740740741	0.9762	1	0.971	0.9706	1	1
773579	Plus	59	66	77	39	47	57	56	62	70	59	66	77	0.831	0.742	0.805	0.948717949	0.936170213	0.964912281	0.9821	0.9194	0.9143	1	1	1
773580	Minus	48	64	78	35	39	54	43	59	73	48	64	78	0.604	0.516	0.564	0.685714286	0.692307692	0.722222222	1	0.9492	0.863	1	1	1
774089	Plus	56	66	69	31	40	34	53	62	65	56	66	69	0.839	0.924	0.812	0.967741935	0.925	0.764705882	0.9245	0.9355	0.8769	1	1	1
774090	Minus	51	61	81	34	45	65	44	54	76	51	61	81	0.353	0.443	0.543	0.735294118	0.577777778	0.723076923	0.9773	0.9444	0.9737	1	1	1
775597	Plus	56	65	63	45	58	50	54	63	59	56	65	63	0.679	0.523	0.667	0.755555556	0.672413793	0.74	0.9444	0.9683	0.9831	0.9048	1	0.8667
775598	Minus	51	63	73	32	46	54	48	62	68	51	63	73	0.706	0.778	0.767	0.78125	0.869565217	0.851851852	0.9167	0.9839	0.9412	1	1	1
775880	Plus	54	73	63	37	52	43	51	68	62	54	73	63	0.722	0.63	0.667	0.918918919	0.884615385	0.976744186	0.9608	0.9706	0.9839	1	0.9737	1
775881	Minus	54	68	73	46	52	59	49	64	66	54	68	73	1	0.985	0.945	0.956521739	0.769230769	0.915254237	1	0.9531	0.9848	0.9737	0.9744	1
775939	Plus	54	72	62	39	52	45	50	70	59	54	72	62	0.833	0.833	0.903	0.58974359	0.653846154	0.622222222	0.94	0.9857	0.9661	1	0.9167	1
775940	Minus	55	66	73	42	48	57	51	61	68	55	66	73	0.782	0.712	0.767	1	0.979166667	0.912280702	0.9412	0.9508	0.9412	1	1	0.98
775985	Plus	53	72	63	39	57	46	47	71	62	53	72	63	0.396	0.361	0.476	0.897435897	0.912280702	0.739130435	0.9362	0.9577	0.9355	1	0.9677	0.9474
775986	Minus	55	67	72	42	47	58	49	63	66	55	67	72	0.745	0.701	0.653	0.976190476	0.893617021	0.965517241	0.9796	0.9683	0.9545	1	0.9706	1
776090	Plus	56	72	61	41	51	44	50	68	62	56	72	61	0.893	0.917	0.918	0.975609756	1	0.954545455	1	0.9412	0.9839	0.975	1	1
776091	Minus	55	67	72	39	30	42	48	64	67	55	67	72	0.818	0.627	0.75	0.948717949	0.833333333	0.880952381	0.9792	0.9531	0.8806	1	1	1
776173	Plus	56	72	62	43	61	49	54	69	62	56	72	62	0.768	0.681	0.629	0.860465116	0.721311475	0.816326531	0.9444	0.971	1	0.9091	1	0.8182
776174	Minus	53	67	74	42	48	57	50	63	70	53	67	74	0.792	0.672	0.77	0.857142857	0.770833333	0.807017544	1	0.9365	0.9571	0.9	0.9333	1
776429	Plus	52	70	59	38	51	43	51	67	55	52	70	59	0.846	0.7	0.78	0.710526316	0.745098039	0.697674419	1	0.9403	0.9818	1	0.9333	0.9091
776430	Minus	54	67	73	45	49	63	48	61	67	54	67	73	0.926	0.94	0.973	0.8	0.897959184	0.73015873	0.8958	0.9836	0.9701	0.96	0.9697	1
777492	Plus	54	71	60	35	42	43	48	72	53	54	71	60	0.87	0.972	0.933	0.885714286	0.833333333	0.860465116	0.9167	0.9861	0.9623	0.9756	1	0.9783
777493	Minus	50	69	74	36	45	57	47	67	70	50	69	74	0.94	0.913	0.946	0.944444444	0.933333333	0.894736842	1	1	0.9857	1	0.9778	0.9808
777539	Plus	54	70	60	35	44	36	48	68	54	54	70	60	0.852	0.957	0.967	0.942857143	0.954545455	1	0.8958	0.9412	0.8889	1	1	1
777540	Minus	50	69	74	37	51	57	44	63	72	50	69	74	0.88	0.913	0.905	0.810810811	0.941176471	0.894736842	0.9773	1	1	1	0.9737	0.9744
777818	Plus	54	70	63	38	53	46	50	68	59	54	70	63	1	0.971	0.921	0.894736842	0.886792453	0.913043478	0.96	0.9412	0.9153	0.9444	0.9091	1
777819	Minus	48	70	71	37	48	53	39	64	65	48	70	71	0.917	0.971	0.958	0.783783784	0.833333333	0.905660377	0.9744	1	0.9385	1	0.9773	1
777954	Plus	53	71	61	37	56	45	49	70	52	53	71	61	0.642	0.718	0.639	0.891891892	0.857142857	0.8	0.8776	0.9286	0.8654	1	0.9655	0.9524
777955	Minus	50	71	71	30	45	39	45	71	63	50	71	71	0.76	0.803	0.789	0.9	0.888888889	0.948717949	0.9556	0.9718	0.9365	0.9412	1	1
778577	Plus	51	66	64	41	53	50	45	62	61	51	66	64	0.471	0.652	0.656	0.853658537	0.943396226	0.96	0.9333	1	0.9508	1	1	0.9714
778578	Minus	52	70	68	43	51	52	48	68	63	52	70	68	0.981	0.943	0.985	0.744186047	0.745098039	0.692307692	0.9792	0.9559	0.9206	0.95	0.9118	1
778824	Plus	49	64	65	35	55	47	42	61	58	49	64	65	0.898	0.984	0.923	0.971428571	0.927272727	0.957446809	0.9762	0.9836	0.931	0.9697	1	1
778825	Minus	54	69	72	46	52	51	47	65	66	54	69	72	0.963	0.957	0.889	0.847826087	0.788461538	0.843137255	0.9574	0.9846	0.9242	0.8636	0.9697	0.95
778933	Plus	48	63	65	37	50	53	41	61	60	48	63	65	0.854	0.873	0.877	0.864864865	0.86	0.867924528	0.9756	0.9672	0.9167	1	0.9667	0.9032
778934	Minus	52	69	73	42	53	54	49	61	68	52	69	73	0.827	0.826	0.795	0.714285714	0.660377358	0.703703704	0.9592	0.9672	0.9412	1	0.9655	1
779287	Plus	49	63	60	34	43	49	44	65	59	49	63	60	0.939	0.968	0.983	0.852941176	0.720930233	0.816326531	1	0.9692	0.9831	1	0.96	1
779288	Minus	56	69	73	46	52	54	49	61	66	56	69	73	0.929	0.928	0.932	0.934782609	0.923076923	0.962962963	1	0.9836	0.9394	0.9706	0.9773	1
779493	Plus	49	68	60	36	53	42	41	60	54	49	68	60	0.776	0.779	0.7	0.861111111	0.735849057	0.976190476	0.9512	0.95	0.9074	0.9167	1	0.84
779494	Minus	58	63	71	38	45	55	55	56	61	58	63	71	0.172	0.127	0.155	0.631578947	0.688888889	0.745454545	0.8182	0.9107	0.9016	1	0.9333	0.9762
779877	Plus	51	67	56	36	58	38	46	65	53	51	67	56	0.765	0.896	0.786	0.833333333	0.913793103	0.868421053	0.913	0.9846	0.9811	1	0.9767	0.9412
779878	Minus	58	64	71	43	48	47	53	56	63	58	64	71	0.879	0.859	0.93	0.906976744	0.875	0.914893617	1	0.9643	0.9683	1	0.9767	1
779889	Plus	51	67	56	38	59	46	47	65	54	51	67	56	0.98	0.97	1	0.921052632	0.93220339	0.97826087	0.9787	1	1	1	0.9744	1
779890	Minus	58	64	71	46	47	53	49	53	63	58	64	71	0.845	0.812	0.859	0.760869565	0.744680851	0.698113208	0.9796	0.9434	0.9683	0.6	0.6923	0.625
779938	Plus	52	66	57	38	56	39	47	65	54	52	66	57	0.692	0.758	0.702	0.894736842	0.892857143	0.871794872	0.9787	0.9692	0.963	1	1	1
779939	Minus	58	63	70	33	37	35	51	56	67	58	63	70	0.966	0.952	1	0.757575758	0.891891892	0.885714286	0.9216	0.9286	0.9254	1	1	1
780457	Plus	54	63	71	38	46	56	48	61	64	54	63	71	0.37	0.349	0.296	0.684210526	0.695652174	0.839285714	0.9583	0.9508	0.9531	1	1	1
780458	Minus	60	57	71	45	40	50	53	53	59	60	57	71	0.55	0.491	0.606	0.8	0.875	0.9	0.9434	0.9245	0.9153	1	1	1
780822	Plus	53	58	69	19	28	26	47	50	59	53	58	69	0.943	1	0.957	0.894736842	0.964285714	0.884615385	0.8085	0.72	0.7288	1	1	1
780823	Minus	62	59	75	42	42	57	55	55	66	62	59	75	0.919	0.864	0.893	0.904761905	0.761904762	0.771929825	0.9273	0.8	0.9242	0.973	0.8824	0.9778
781125	Plus	55	61	63	17	30	22	45	53	55	55	61	63	0.945	0.984	0.952	0.823529412	0.866666667	0.909090909	0.7333	0.8113	0.7455	1	1	1
781126	Minus	58	60	78	40	48	57	53	52	69	58	60	78	0.966	0.9	0.885	0.7	0.75	0.894736842	0.9245	0.8846	0.8551	0.9706	0.9655	0.9318
782101	Plus	51	60	68	40	46	56	50	57	65	51	60	68	0.98	0.983	1	0.7	0.782608696	0.839285714	0.88	0.9649	0.9846	1	0.9688	1
782102	Minus	56	68	71	41	52	56	52	66	66	56	68	71	0.821	0.824	0.817	0.804878049	0.788461538	0.839285714	0.9808	0.9848	0.9848	0.96	1	1
782236	Plus	52	63	68	31	37	47	51	57	64	52	63	68	0.923	0.952	0.971	0.967741935	1	0.914893617	0.9412	0.9649	0.9844	0.9474	1	1
782237	Minus	55	69	70	44	51	57	52	64	68	55	69	70	0.891	0.957	0.943	0.886363636	0.843137255	0.859649123	0.9808	0.9844	0.9853	1	0.9706	0.9091
782431	Plus	54	64	67	39	43	50	51	58	65	54	64	67	0.778	0.781	0.851	0.923076923	0.860465116	0.86	0.8627	0.9828	0.9538	0.8889	0.8571	0.8182
782432	Minus	58	68	73	46	46	61	54	64	70	58	68	73	0.931	0.941	0.973	0.847826087	0.804347826	0.901639344	0.9815	0.9844	0.9857	1	1	0.9787
782482	Plus	53	64	68	34	36	42	50	58	65	53	64	68	0.981	0.953	1	0.911764706	0.916666667	0.928571429	1	0.9483	0.9538	1	1	1
782483	Minus	57	69	72	36	42	47	54	66	69	57	69	72	0.93	0.971	0.944	0.916666667	0.904761905	0.914893617	0.963	1	1	0.9714	1	1
782575	Plus	55	61	69	42	39	52	50	57	66	55	61	69	0.891	0.852	0.899	0.452380952	0.384615385	0.5	0.92	0.9649	0.9697	1	0.96	1
782576	Minus	55	68	70	43	52	58	52	66	67	55	68	70	0.4	0.162	0.257	0.720930233	0.673076923	0.724137931	0.9808	0.9697	1	1	1	0.9524
782823	Plus	51	62	74	40	46	58	48	59	69	51	62	74	0.294	0.274	0.284	0.725	0.630434783	0.689655172	0.9583	0.8983	0.913	0.8889	1	1
782824	Minus	56	65	69	32	48	53	53	63	64	56	65	69	0.893	0.969	0.942	0.9375	0.958333333	0.79245283	0.9811	1	0.9844	1	1	0.9787
782872	Plus	50	63	76	40	46	55	48	62	71	50	63	76	0.98	0.873	0.908	0.875	0.913043478	0.890909091	0.9583	0.9355	0.9155	1	0.9667	1
782873	Minus	56	64	69	39	41	55	52	61	63	56	64	69	0.964	0.953	0.971	0.897435897	0.951219512	0.963636364	0.9615	0.9508	0.9683	1	1	1
783227	Plus	50	63	73	35	46	57	46	63	70	50	63	73	0.74	0.778	0.699	0.771428571	0.847826087	0.842105263	0.9348	0.9841	0.9714	1	1	0.85
783228	Minus	55	66	71	46	52	54	51	59	65	55	66	71	0.527	0.47	0.507	0.869565217	0.865384615	0.833333333	0.9608	0.9492	0.9231	0.9722	0.9375	0.9362
783238	Plus	50	63	73	45	51	61	46	60	71	50	63	73	0.96	0.873	0.904	0.688888889	0.68627451	0.68852459	0.9565	1	0.9437	0.6667	0.6154	0.7333
783239	Minus	55	65	71	43	48	51	53	60	66	55	65	71	0.982	0.954	0.972	0.930232558	0.9375	0.882352941	0.9623	1	0.9697	1	1	0.9792
783256	Plus	50	63	73	36	46	58	45	62	73	50	63	73	0.9	0.937	0.918	0.777777778	0.760869565	0.879310345	0.9556	0.9839	0.9315	0.963	1	0.975
783257	Minus	55	64	71	40	49	55	54	61	64	55	64	71	0.927	0.906	0.887	0.625	0.448979592	0.563636364	0.9259	0.9344	0.9531	0.9667	1	1
783298	Plus	49	64	74	36	48	56	45	59	68	49	64	74	0.796	0.766	0.838	0.916666667	1	0.982142857	0.9333	0.9492	0.9559	1	1	1
783299	Minus	57	65	71	39	51	53	51	55	63	57	65	71	0.86	0.908	0.831	0.538461538	0.607843137	0.603773585	0.902	0.9636	0.873	1	1	1
783322	Plus	48	64	73	34	52	51	45	59	70	48	64	73	0.917	0.969	0.973	0.705882353	0.865384615	0.784313725	0.9778	0.9661	0.9571	1	1	1
783323	Minus	60	66	70	50	53	54	49	59	62	60	66	70	0.75	0.712	0.614	0.6	0.452830189	0.481481481	0.9388	0.9322	0.9194	1	1	1
783586	Plus	47	63	73	36	44	63	46	62	70	47	63	73	0.702	0.698	0.575	0.583333333	0.659090909	0.634920635	0.9565	0.9355	0.9286	1	1	1
783587	Minus	60	69	70	50	52	56	53	63	59	60	69	70	0.817	0.826	0.914	0.52	0.538461538	0.607142857	0.9434	0.8571	0.9492	1	1	0.9565
783841	Plus	46	61	71	41	44	57	43	57	65	46	61	71	0.87	0.82	0.901	0.634146341	0.727272727	0.771929825	1	1	0.9692	1	0.9091	1
783842	Minus	60	69	63	45	54	47	54	66	59	60	69	63	0.967	0.899	0.921	0.555555556	0.444444444	0.489361702	0.8889	0.9394	0.9322	0.9444	0.963	0.9524
783990	Plus	46	64	67	38	44	48	45	62	62	46	64	67	0.652	0.672	0.701	0.815789474	0.772727273	0.6875	0.9778	0.9516	0.9516	1	1	1
783991	Minus	56	69	65	43	52	48	53	61	54	56	69	65	0.429	0.551	0.585	0.627906977	0.730769231	0.708333333	0.9811	0.8689	0.8519	0.9286	1	0.9091
784009	Plus	46	64	67	36	50	55	43	60	60	46	64	67	0.935	0.875	0.881	0.638888889	0.58	0.727272727	0.9767	1	0.9833	0.8889	0.8889	0.875
784010	Minus	56	69	63	41	53	54	47	63	58	56	69	63	0.893	0.884	0.81	0.975609756	0.962264151	0.851851852	0.9787	0.9206	0.9483	0.9615	0.9706	0.9677
784014	Plus	46	64	68	34	52	51	44	63	65	46	64	68	0.913	0.891	0.882	0.794117647	0.634615385	0.764705882	0.9545	0.9841	0.8923	0.9286	0.7143	0.9412
784015	Minus	56	68	63	42	52	45	53	65	58	56	68	63	0.964	0.926	0.873	0.666666667	0.711538462	0.644444444	0.9623	0.9231	0.931	1	1	0.9375
784032	Plus	46	64	69	38	51	56	44	62	63	46	64	69	0.913	0.875	0.928	0.5	0.490196078	0.589285714	0.9318	0.9677	0.9841	1	0.96	0.9688
784033	Minus	57	67	63	40	45	39	53	63	55	57	67	63	0.895	0.94	0.937	0.85	0.866666667	0.871794872	0.9434	0.9524	0.9455	1	1	1
784045	Plus	46	64	69	30	42	53	41	60	62	46	64	69	0.804	0.891	0.855	0.7	0.761904762	0.811320755	0.9024	0.9833	0.9839	0.875	0.9429	0.9231
784046	Minus	56	68	61	38	46	45	53	63	59	56	68	61	0.679	0.691	0.738	0.763157895	0.804347826	0.733333333	0.9811	0.9365	0.9492	1	0.9833	1
785483	Plus	47	72	70	40	50	57	39	66	65	47	72	70	0.809	0.917	0.929	0.775	0.86	0.824561404	0.9487	0.9091	0.9538	0.9643	0.9474	0.9231
785484	Minus	54	59	62	40	43	47	46	52	51	54	59	62	0.852	0.712	0.726	0.7	0.76744186	0.872340426	0.8913	0.8269	0.902	1	0.9688	1
785759	Plus	49	68	71	38	48	58	45	59	65	49	68	71	0.857	0.926	0.887	0.763157895	0.791666667	0.810344828	0.9556	0.9661	1	1	1	0.9636
785760	Minus	58	59	61	51	46	46	55	53	51	58	59	61	0.862	0.847	0.852	0.68627451	0.565217391	0.847826087	0.9818	1	0.9412	1	0.9	0.7143
785768	Plus	48	68	70	39	51	61	46	62	64	48	68	70	0.896	0.721	0.857	0.871794872	0.862745098	0.901639344	0.9565	0.9677	0.9688	1	0.9737	0.9524
785769	Minus	58	59	59	50	45	45	54	55	54	58	59	59	0.621	0.61	0.627	0.82	0.688888889	0.733333333	1	0.9636	0.9259	1	0.9032	0.8529
785787	Plus	49	66	70	45	49	48	47	59	66	49	66	70	0.776	0.788	0.757	0.977777778	0.897959184	0.916666667	0.9574	1	0.9545	1	1	1
785788	Minus	57	60	59	46	47	44	56	57	56	57	60	59	0.947	0.917	0.983	0.804347826	0.765957447	0.886363636	0.9643	0.9474	0.9107	0.9706	0.9677	1
785826	Plus	48	66	69	38	43	58	46	61	65	48	66	69	0.479	0.485	0.435	0.763157895	0.76744186	0.74137931	0.8913	0.9508	0.9692	1	0.9333	1
785827	Minus	57	60	59	48	51	47	54	54	56	57	60	59	0.86	0.783	0.797	0.9375	0.843137255	0.829787234	1	0.9815	0.9643	1	0.973	0.9268
785961	Plus	47	68	68	26	34	35	46	64	62	47	68	68	0.979	0.882	0.882	0.730769231	0.911764706	0.828571429	0.9565	0.9844	0.9677	1	1	1
785962	Minus	56	60	60	40	47	46	52	58	56	56	60	60	0.911	0.85	0.867	0.675	0.680851064	0.608695652	1	0.9483	0.9464	0.9048	0.9286	0.9048
785987	Plus	47	69	67	39	52	55	47	65	63	47	69	67	0.979	0.957	0.925	0.897435897	0.923076923	0.927272727	0.9574	0.9538	0.9524	0.963	1	1
785988	Minus	56	59	59	43	47	43	53	59	57	56	59	59	0.804	0.797	0.78	0.76744186	0.787234043	0.651162791	1	1	0.9474	1	1	1
786074	Plus	48	70	68	34	41	47	46	68	64	48	70	68	1	0.943	0.985	0.852941176	0.780487805	0.85106383	0.9565	0.9412	0.9688	1	1	1
786075	Minus	56	61	60	41	39	52	52	55	58	56	61	60	0.321	0.426	0.4	0.634146341	0.666666667	0.596153846	1	0.9818	0.9655	1	0.9688	1
786422	Plus	49	71	67	36	39	49	46	68	64	49	71	67	0.673	0.732	0.821	0.888888889	0.974358974	0.857142857	0.9565	0.9265	0.9688	1	1	1
786423	Minus	61	61	60	49	41	48	53	58	53	61	61	60	1	0.967	0.983	0.87755102	0.804878049	0.833333333	0.8868	0.8793	0.9057	1	0.9667	1
786889	Plus	49	66	65	31	40	44	47	65	64	49	66	65	0.857	0.909	0.908	0.677419355	0.75	0.75	0.9787	0.9692	1	1	1	0.92
786890	Minus	60	58	60	49	47	49	56	52	56	60	58	60	0.983	0.897	0.9	0.959183673	0.957446809	0.918367347	0.9821	0.9808	1	1	1	0.9714
787057	Plus	49	71	69	27	39	46	45	62	66	49	71	69	1	0.972	0.986	0.740740741	0.820512821	0.826086957	0.9778	0.9677	0.9697	0.96	1	1
787058	Minus	60	59	59	35	37	34	53	56	57	60	59	59	1	0.983	1	0.685714286	0.72972973	0.794117647	1	0.9821	0.9825	1	1	1
787111	Plus	48	71	71	40	50	63	45	64	68	48	71	71	0.729	0.761	0.817	0.675	0.8	0.682539683	0.9556	1	1	0.9231	1	1
787112	Minus	59	58	62	44	43	45	56	56	58	59	58	62	0.831	0.931	0.871	0.818181818	0.88372093	0.933333333	0.9286	0.9464	0.9655	1	1	1
787185	Plus	50	70	73	40	48	54	44	69	70	50	70	73	0.92	0.914	0.918	0.525	0.5	0.444444444	1	0.9855	0.9857	0.9333	0.9565	0.9565
787186	Minus	59	57	63	40	46	50	55	56	61	59	57	63	0.492	0.719	0.635	0.525	0.652173913	0.62	1	1	0.9836	0.9286	1	0.8929
787371	Plus	51	72	73	45	49	56	45	64	63	51	72	73	0.314	0.403	0.384	0.466666667	0.591836735	0.517857143	0.9333	0.875	0.8571	1	1	1
787372	Minus	57	58	63	48	44	51	54	53	61	57	58	63	0.86	0.862	0.873	0.875	0.840909091	0.882352941	1	0.9623	0.9672	1	1	1
787509	Plus	52	72	74	38	43	56	46	66	63	52	72	74	0.769	0.75	0.784	0.842105263	0.837209302	0.767857143	0.8696	0.8939	0.9206	1	0.95	0.8696
787510	Minus	56	58	66	40	26	51	51	56	58	56	58	66	0.679	0.672	0.591	0.8	0.615384615	0.862745098	0.9804	0.9286	0.9138	0.88	0.8889	0.9524
788103	Plus	55	74	75	45	51	58	55	70	66	55	74	75	0.909	0.892	0.867	0.466666667	0.431372549	0.448275862	0.9818	0.9571	0.9242	0.9333	0.9714	0.9355
788104	Minus	51	62	67	37	43	48	48	60	64	51	62	67	0.941	0.984	1	0.837837838	0.906976744	0.9375	0.9583	0.9833	0.9531	0.9697	1	0.9667
